"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","hoa.fee","status","price","listedDate","removedDate","daysOnMarket"
"1","5727-Timber-Top-Dr,-Unit-10-572,-Hilliard,-OH-43026","5727 Timber Top Dr, Unit 10-572, Hilliard, OH 43026","5727 Timber Top Dr","Unit 10-572","Hilliard","OH","43026","Franklin",40.0554,-83.1745,"Condo",NA,2,2,1158,NA,NA,NA,"Inactive",299999,"2022-01-21T12:27:19.147Z","2022-08-09T20:27:37.937Z",201
"1","5801-Lonerise-Ln,-Hilliard,-OH-43026","5801 Lonerise Ln, Hilliard, OH 43026","5801 Lonerise Ln",NA,"Hilliard","OH","43026","Franklin",39.9918,-83.1626,"Single Family",NA,3,2.5,1776,NA,NA,NA,"Inactive",295000,"2022-01-21T12:27:14.358Z","2022-08-09T20:27:37.937Z",201
"1","6590-Davis-Rd,-Hilliard,-OH-43026","6590 Davis Rd, Hilliard, OH 43026","6590 Davis Rd",NA,"Hilliard","OH","43026","Franklin",40.0301,-83.1876,"Single Family",NA,3,2,1664,NA,NA,NA,"Inactive",229900,"2022-02-03T12:19:05.433Z","2022-08-09T20:27:37.937Z",188
"1","4489-Mccullough-Ln,-Hilliard,-OH-43026","4489 Mccullough Ln, Hilliard, OH 43026","4489 Mccullough Ln",NA,"Hilliard","OH","43026","Franklin",40.0428,-83.1692,"Single Family",NA,5,3,2736,NA,NA,NA,"Inactive",474900,"2021-12-12T13:48:18.099Z","2022-08-09T20:24:44.348Z",241
"1","2957-Collier-Hill-Ct,-Hilliard,-OH-43026","2957 Collier Hill Ct, Hilliard, OH 43026","2957 Collier Hill Ct",NA,"Hilliard","OH","43026","Franklin",40.0118,-83.1683,"Single Family",NA,4,2.5,2502,NA,NA,NA,"Inactive",390000,"2021-12-24T12:52:55.126Z","2022-08-09T20:23:16.445Z",229
"1","3452-Fairway-Commons-Dr,-Hilliard,-OH-43026","3452 Fairway Commons Dr, Hilliard, OH 43026","3452 Fairway Commons Dr",NA,"Hilliard","OH","43026","Franklin",40.0205,-83.1833,"Single Family",NA,4,2.5,3188,NA,NA,NA,"Inactive",489000,"2022-01-22T13:33:33.334Z","2022-08-09T20:19:38.079Z",200
"1","1973-Jasper-Ln,-Hilliard,-OH-43026","1973 Jasper Ln, Hilliard, OH 43026","1973 Jasper Ln",NA,"Hilliard","OH","43026","Franklin",39.9912,-83.1568,"Condo",NA,2,2.5,1024,NA,NA,NA,"Inactive",179900,"2022-01-18T10:28:27.324Z","2022-08-09T20:19:38.079Z",204
"1","5401-Gillette-Ave,-Hilliard,-OH-43026","5401 Gillette Ave, Hilliard, OH 43026","5401 Gillette Ave",NA,"Hilliard","OH","43026","Franklin",40.0183,-83.1564,"Single Family",NA,3,2,1745,NA,NA,NA,"Inactive",310000,"2022-02-09T12:11:25.514Z","2022-08-09T20:16:35.399Z",182
"1","3986-Hill-Park-Rd,-Unit-11-398,-Hilliard,-OH-43026","3986 Hill Park Rd, Unit 11-398, Hilliard, OH 43026","3986 Hill Park Rd","Unit 11-398","Hilliard","OH","43026","Franklin",40.032,-83.1743,"Condo",NA,3,2.5,1528,NA,NA,NA,"Inactive",279900,"2022-02-10T12:17:58.246Z","2022-08-09T20:15:02.349Z",181
"1","3420-Smileys-Cor,-Unit-A16,-Hilliard,-OH-43026","3420 Smileys Cor, Unit A16, Hilliard, OH 43026","3420 Smileys Cor","Unit A16","Hilliard","OH","43026","Franklin",40.0237,-83.1125,"Condo",NA,2,2,1188,NA,NA,NA,"Inactive",199000,"2022-02-05T10:12:20.031Z","2022-08-09T20:15:02.349Z",186
