"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket"
"1","4115-Britton-Pkwy,-Hilliard,-OH-43026","4115 Britton Pkwy, Hilliard, OH 43026","4115 Britton Pkwy",NA,"Hilliard","OH","43026","Franklin",40.0371,-83.1345,"Apartment",NA,NA,NA,NA,NA,2014,"Inactive",1320,"2021-12-10T02:20:45.000Z","2023-01-06T03:43:32.164Z",393
"1","5350-Jasmine-Ln,-Hilliard,-OH-43026","5350 Jasmine Ln, Hilliard, OH 43026","5350 Jasmine Ln",NA,"Hilliard","OH","43026","Franklin",39.9924,-83.1509,"Apartment",NA,1,1,NA,NA,1983,"Inactive",624,"2021-12-10T02:20:45.000Z","2023-01-06T03:43:32.164Z",393
"1","5401-Main-St,-Hilliard,-OH-43026","5401 Main St, Hilliard, OH 43026","5401 Main St",NA,"Hilliard","OH","43026","Franklin",40.0322,-83.1613,"Apartment",NA,2,1,NA,NA,2008,"Inactive",1300,"2022-01-06T02:20:05.000Z","2023-01-06T03:43:32.164Z",366
"1","5391-Renner-Rd,-Hilliard,-OH-43026","5391 Renner Rd, Hilliard, OH 43026","5391 Renner Rd",NA,"Hilliard","OH","43026","Franklin",39.9816,-83.1448,"Apartment",NA,NA,NA,NA,NA,2017,"Inactive",1155,"2022-11-22T16:20:23.000Z","2023-01-06T03:43:32.164Z",45
"1","5160-Preferred-Pl,-Hilliard,-OH-43026","5160 Preferred Pl, Hilliard, OH 43026","5160 Preferred Pl",NA,"Hilliard","OH","43026","Franklin",39.9866,-83.1461,"Apartment",NA,NA,NA,NA,NA,2003,"Inactive",912,"2021-09-16T23:39:33.000Z","2023-01-05T03:40:55.048Z",476
"1","2332-Asics-Dr,-Hilliard,-OH-43026","2332 Asics Dr, Hilliard, OH 43026","2332 Asics Dr",NA,"Hilliard","OH","43026","Franklin",39.999,-83.1519,"Apartment",NA,NA,NA,NA,NA,1990,"Inactive",929,"2021-09-16T23:39:33.000Z","2023-01-04T03:40:12.558Z",475
"1","4727-Jeannette-Rd,-Hilliard,-OH-43026","4727 Jeannette Rd, Hilliard, OH 43026","4727 Jeannette Rd",NA,"Hilliard","OH","43026","Franklin",40.0252,-83.141,"Apartment",NA,2,1,NA,NA,1973,"Inactive",740,"2021-12-10T02:20:45.000Z","2022-12-23T03:49:41.063Z",379
"1","5678-Andrea-Ln,-Hilliard,-OH-43026","5678 Andrea Ln, Hilliard, OH 43026","5678 Andrea Ln",NA,"Hilliard","OH","43026","Franklin",39.9932,-83.1575,"Single Family",NA,3,2,1364,NA,NA,"Inactive",1699,"2022-10-07T03:18:29.787Z","2022-12-21T03:49:58.184Z",76
"1","5290-Crescent-Dr,-Hilliard,-OH-43026","5290 Crescent Dr, Hilliard, OH 43026","5290 Crescent Dr",NA,"Hilliard","OH","43026","Franklin",40.0435,-83.1606,"Single Family",NA,3,1,960,NA,NA,"Inactive",1399,"2022-07-28T01:20:21.494Z","2022-12-20T03:49:36.037Z",146
"1","5796-Redsand-Rd,-Hilliard,-OH-43026","5796 Redsand Rd, Hilliard, OH 43026","5796 Redsand Rd",NA,"Hilliard","OH","43026","Franklin",39.9943,-83.1629,"Single Family",NA,3,3,1642,NA,NA,"Inactive",1935,"2022-01-31T21:01:52.000Z","2022-12-20T03:49:36.037Z",323
